德国人,de2 guo2 ren2,German person or people,Boya_Chapter_3
T恤,T xu4,T-shirt,Boya_Chapter_3
洗澡,xi3 zao3,bathe,Boya_Chapter_3
短,duan3,lack; short,Boya_Chapter_4
一样,yi1 yang4,same; as … as; like; equal to; the same as; just like,Boya_Chapter_4
地方,di4 fang5,part; area; place; local,Boya_Chapter_4
比如说,bi3 ru2 shuo1,for example,Boya_Chapter_4
面积,mian4 ji5,area,Boya_Chapter_4
人口,ren2 kou3,population,Boya_Chapter_4
发达,fa1 da2,"developed (country, etc.); flourishing; to develop",Boya_Chapter_4
国家,guo2 jia1,country; nation,Boya_Chapter_4
发展,fa1 zhan3,development; growth; to develop; to grow; to expand,Boya_Chapter_4
人们,ren2 men5,people,Boya_Chapter_4
上班,shang4 ban1,to go to work; to be on duty; to start work; to go to the office,Boya_Chapter_4
上学,shang4 xue2,to go to school; to attend school,Boya_Chapter_4
开,kai1,drive; operate (vehicle); open; start,Boya_Chapter_4
亿,yi4,a hundred million; calculate,Boya_Chapter_4
到处,dao4 chu4,in all places; everywhere,Boya_Chapter_4
下班,xia4 ban1,to come or go or get off work,Boya_Chapter_4
汽车,qi4 che1,car; automobile; bus,Boya_Chapter_4
像,xiang4,(look) like; similar (to); look; appearance; to look; to appear; to seem; image; portrait; resemble; seem,Boya_Chapter_4
河流,he2 liu2,river,Boya_Chapter_4
壮观,zhuang4 guan1,spectacular; magnificent site,Boya_Chapter_4
种类,zhong3 lei4,class; kind; sort; species,Boya_Chapter_4
菜系,cai4 xi4,cuisine,Boya_Chapter_4
名胜古迹,ming2 sheng4 gu3 ji4,scenic spots and historical sites,Boya_Chapter_4
千,qian1,thousand,Boya_Chapter_4
民族,min2 zu2,nationality; ethnic group,Boya_Chapter_4
亚洲,ya4 zhou1,Asia; Asian,Boya_Chapter_4
平方公里,ping2 fang1 gong1 li3,square kilometer,Boya_Chapter_4
俄罗斯,e2 luo2 si1,Russia,Boya_Chapter_4
据说,ju4 shuo1,it is said that; reportedly,Boya_Chapter_4
家,jia1,(measure word for stores and schools),Boya_Chapter_5
餐厅,can1 ting1,dining room; dining-hall,Boya_Chapter_5
位,wei4,position; location; (measure word for persons); place; seat,Boya_Chapter_5
女士,nuu3 shi4,lady; madam,Boya_Chapter_5
饱,bao3,to eat till full; satisfied,Boya_Chapter_5
点,dian3,to order; point; dot,Boya_Chapter_5
经常,jing1 chang2,often; frequently; regularly,Boya_Chapter_5
饭馆,fan4 guan3,"restaurant, hotel",Boya_Chapter_5
偶尔,ou3 er3,occasionally; once in a while,Boya_Chapter_5
第,di4,"(prefix before a number, for ordering numbers, e.g.",Boya_Chapter_5
煮,zhu3,to cook; to boil,Boya_Chapter_5
方便面,fang1 bian4 mian4,instant noodles,Boya_Chapter_5
肚子,du4 zi5,belly; abdomen,Boya_Chapter_5
火锅,huo3 guo1,hotpot,Boya_Chapter_5
开张,kai1 zhang1,open,Boya_Chapter_5
酒水,jiu3 shui3,beverages; drinks,Boya_Chapter_5
免费,mian3 fei4,free (of charge),Boya_Chapter_5
跟,gen1,to follow; to go with; heel; with; and,Boya_Chapter_5
环境,huan2 jing4,environment; circumstances; surroundings,Boya_Chapter_5
服务员,fu2 wu4 yuan2,waiter; waitress; server,Boya_Chapter_5
态度,tai4 du5,attitude; manner; bearing; approach,Boya_Chapter_5
价钱,jia4 qian5,price,Boya_Chapter_5
算,suan4,be cosidered; regard as; to figure; to calculate,Boya_Chapter_5
公道,gong1 dao5,fair; just; equitable,Boya_Chapter_5
辣,la4,hot (spicy); pungent,Boya_Chapter_5
广告,guang3 gao4,advertisement,Boya_Chapter_6
栏,lan2,column; railing; fence,Boya_Chapter_6
广告栏,guang3 gao4 lan2,classifieds; ad columns,Boya_Chapter_6
贴,tie1,to stick; to paste; to keep close to; to fit snugly; allowance,Boya_Chapter_6
通知,tong1 zhi1,circular; notify; inform; notice; notification,Boya_Chapter_6
围,wei2,to enclose; to circle; to surround,Boya_Chapter_6
发生,fa1 sheng1,to happen; to occur; to take place,Boya_Chapter_6
过去,guo4 qu5,(in the) past; former; previous; to go over; to pass by,Boya_Chapter_6
活动,huo2 dong4,activity; exercise; behavior,Boya_Chapter_6
读,du2,read,Boya_Chapter_6
交流,jiao1 liu2,to comunicate; to exchange; to alternate,Boya_Chapter_6
学院,xue2 yuan4,college; educational institute; school; faculty,Boya_Chapter_6
将,jiang1,"be going to; (will, shall, ""futurer tense""); to get; to use",Boya_Chapter_6
组织,zu3 zhi1,to organize; organization,Boya_Chapter_6
郊区,jiao1 qu1,suburban district; outskirts; suburbs,Boya_Chapter_6
参观,can1 guan1,to look around; to inspect; visit and observe,Boya_Chapter_6
学生证,xue2 sheng5 zheng4,student ID,Boya_Chapter_6
办公室,ban4 gong1 shi4,office,Boya_Chapter_6
办,ban4,to do; to manage; to handle; to go about; to run; to set up; to deal with,Boya_Chapter_6
手续,shou3 xu4,procedure; formalities,Boya_Chapter_6
马上,ma3 shang4,at once; right away; immediately,Boya_Chapter_6
拿,na2,to hold; to seize; to catch; to apprehend; to take,Boya_Chapter_6
为了,wei4 le5,in order to; for the purpose of; so as to,Boya_Chapter_6
鼓励,gu3 li4,to encourage,Boya_Chapter_6
积极,ji1 ji2,active; energetic; vigorous; positive (outlook); proactive,Boya_Chapter_6
体育,ti3 yu4,physical culture; physical training; sports,Boya_Chapter_6
运动,yun4 dong4,movement; campaign; sports,Boya_Chapter_6
举办,ju3 ban4,to conduct; to hold,Boya_Chapter_6
篮球,lan2 qiu2,basketball,Boya_Chapter_6
地点,di4 dian3,place; site; location,Boya_Chapter_6
部,bu4,"ministry; department; section; part; division; troops; board; (a measure word); (a measure word for works of literature, films, machines, etc.)",Boya_Chapter_6
该,gai1,that; the above-mentioned; most likely; to deserve; should; ought to; owe,Boya_Chapter_7
